TEN,NP,NOC,HHT,LNGI,ELEP,VEH,HINCP,RNTP,PUMA,COST_BURDALL,RMSP
Rented,1,0.0,Nonfamily household: Male householder: Living alone,1.0,30.0,1.0,20000.0,500.0,Charlotte City (South),1.0,7
Rented,1,0.0,Nonfamily household: Male householder: Living alone,1.0,40.0,1.0,105000.0,1000.0,Charlotte City (Central),0.0,2
Rented,2,0.0,Married couple household,2.0,40.0,1.0,29000.0,520.0,Charlotte City (Central),0.0,2
Rented,4,0.0,"Other family household: Female householder, no spouse present",1.0,50.0,1.0,78900.0,850.0,Charlotte City (Southwest),0.0,5
Rented,2,0.0,Married couple household,1.0,60.0,1.0,145000.0,1300.0,Charlotte City (Southwest),0.0,3
Rented,1,0.0,Nonfamily household: Male householder: Living alone,1.0,40.0,1.0,43000.0,800.0,Mecklenburg County (South)--Matthews Town (South),0.0,3
Rented,1,0.0,Nonfamily household: Female householder: Living alone,2.0,60.0,1.0,50000.0,870.0,Charlotte City (Southwest),0.0,2
Rented,2,0.0,Married couple household,2.0,90.0,3.0,159000.0,1400.0,Charlotte City (Central),0.0,6
Rented,1,0.0,Nonfamily household: Male householder: Living alone,1.0,40.0,1.0,13500.0,1500.0,Charlotte City (South),1.0,7
Rented,2,0.0,Nonfamily household: Male householder: Not living alone,1.0,60.0,2.0,52000.0,970.0,Charlotte City (Northeast),0.0,5
Rented,1,0.0,Nonfamily household: Male householder: Living alone,1.0,80.0,1.0,48500.0,200.0,Charlotte City (Southwest),0.0,4
Rented,1,0.0,Nonfamily household: Male householder: Living alone,1.0,60.0,1.0,49500.0,890.0,"Mecklenburg County (North)--Huntersville, Cornelius & Davidson Towns",0.0,1
Rented,5,0.0,Nonfamily household: Male householder: Not living alone,1.0,60.0,1.0,50000.0,900.0,Charlotte City (Southwest),0.0,7
Rented,3,2.0,"Other family household: Female householder, no spouse present",1.0,70.0,1.0,24000.0,840.0,Charlotte City (Central),1.0,5
Rented,1,0.0,Nonfamily household: Male householder: Living alone,1.0,140.0,1.0,36000.0,1000.0,Mecklenburg County (East)--Mint Hill & Matthews (North) Towns,1.0,4
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,100.0,1.0,108000.0,1400.0,Charlotte City (South),0.0,3
Rented,3,0.0,Nonfamily household: Female householder: Not living alone,1.0,100.0,3.0,196000.0,2800.0,Charlotte City (Central),0.0,6
Rented,2,0.0,Nonfamily household: Female householder: Not living alone,1.0,90.0,3.0,106000.0,1600.0,"Mecklenburg County (North)--Huntersville, Cornelius & Davidson Towns",0.0,6
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,70.0,0.0,8000.0,1200.0,Charlotte City (Central),1.0,2
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,70.0,1.0,35000.0,1100.0,Charlotte City (Central),1.0,1
Rented,1,0.0,Nonfamily household: Male householder: Living alone,1.0,40.0,0.0,160000.0,1300.0,Charlotte City (Central),0.0,1
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,80.0,0.0,20400.0,1400.0,Charlotte City (Southwest),1.0,3
Rented,4,0.0,Nonfamily household: Male householder: Not living alone,1.0,150.0,4.0,41100.0,2800.0,Charlotte City (Northeast),1.0,7
Rented,3,1.0,Married couple household,1.0,90.0,1.0,78000.0,950.0,Mecklenburg County (East)--Mint Hill & Matthews (North) Towns,0.0,5
Rented,2,0.0,Nonfamily household: Female householder: Not living alone,1.0,100.0,2.0,80700.0,1100.0,"Mecklenburg County (North)--Huntersville, Cornelius & Davidson Towns",0.0,3
Rented,3,0.0,"Other family household: Male householder, no spouse present",1.0,100.0,3.0,91400.0,590.0,Charlotte City (Northwest),0.0,5
Rented,3,2.0,"Other family household: Female householder, no spouse present",1.0,200.0,0.0,1500.0,500.0,"Mecklenburg County (North)--Huntersville, Cornelius & Davidson Towns",1.0,5
Rented,3,0.0,"Other family household: Male householder, no spouse present",1.0,90.0,3.0,94000.0,1200.0,Mecklenburg County (East)--Mint Hill & Matthews (North) Towns,0.0,5
Rented,1,0.0,Nonfamily household: Male householder: Living alone,1.0,50.0,1.0,25000.0,1200.0,Charlotte City (Central),1.0,5
Rented,2,0.0,"Other family household: Female householder, no spouse present",1.0,150.0,1.0,38600.0,760.0,Charlotte City (Southwest),0.0,6
Rented,2,0.0,Married couple household,1.0,90.0,2.0,196000.0,1700.0,"Mecklenburg County (North)--Huntersville, Cornelius & Davidson Towns",0.0,6
Rented,1,0.0,Nonfamily household: Male householder: Living alone,1.0,60.0,1.0,40500.0,850.0,Charlotte City (South),0.0,3
Rented,1,0.0,Nonfamily household: Male householder: Living alone,1.0,70.0,2.0,49000.0,730.0,Charlotte City (Northwest),0.0,1
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,100.0,1.0,109800.0,2000.0,Charlotte City (South),0.0,4
Rented,2,1.0,"Other family household: Male householder, no spouse present",1.0,70.0,1.0,200000.0,1300.0,Charlotte City (Northeast),0.0,4
Rented,2,0.0,"Other family household: Female householder, no spouse present",1.0,130.0,0.0,29000.0,750.0,Charlotte City (Northwest),1.0,6
Rented,5,3.0,Married couple household,1.0,170.0,2.0,49800.0,850.0,Charlotte City (Northeast),0.0,4
Rented,3,1.0,Married couple household,2.0,100.0,2.0,8000.0,1500.0,Charlotte City (South),1.0,6
Rented,2,1.0,"Other family household: Female householder, no spouse present",1.0,100.0,0.0,45000.0,1200.0,Charlotte City (Southwest),1.0,4
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,120.0,0.0,14400.0,880.0,Charlotte City (Central),1.0,4
Rented,2,0.0,Married couple household,1.0,140.0,1.0,75000.0,1000.0,Mecklenburg County (South)--Matthews Town (South),0.0,4
Rented,3,0.0,Married couple household,1.0,170.0,2.0,68700.0,1400.0,Charlotte City (South),0.0,6
Rented,3,1.0,Married couple household,1.0,80.0,2.0,79600.0,950.0,Charlotte City (Southwest),0.0,4
Rented,4,3.0,"Other family household: Female householder, no spouse present",1.0,190.0,2.0,30000.0,800.0,Charlotte City (Northwest),1.0,5
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,100.0,1.0,62300.0,1200.0,Mecklenburg County (South)--Matthews Town (South),0.0,3
Rented,2,0.0,Nonfamily household: Female householder: Not living alone,1.0,60.0,2.0,100000.0,1500.0,Charlotte City (Southwest),0.0,7
Rented,5,3.0,"Other family household: Male householder, no spouse present",2.0,120.0,1.0,20800.0,1100.0,Charlotte City (Southwest),1.0,4
Rented,1,0.0,Nonfamily household: Male householder: Living alone,1.0,40.0,1.0,74000.0,800.0,Charlotte City (Southwest),0.0,4
Rented,4,2.0,Married couple household,1.0,90.0,2.0,124000.0,1700.0,"Mecklenburg County (North)--Huntersville, Cornelius & Davidson Towns",0.0,8
Rented,1,0.0,Nonfamily household: Male householder: Living alone,1.0,140.0,1.0,20000.0,850.0,"Mecklenburg County (North)--Huntersville, Cornelius & Davidson Towns",1.0,7
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,60.0,1.0,80000.0,1600.0,Charlotte City (Central),0.0,4
Rented,2,0.0,Nonfamily household: Male householder: Not living alone,2.0,70.0,1.0,70000.0,740.0,Charlotte City (Southwest),0.0,3
Rented,2,0.0,Nonfamily household: Male householder: Not living alone,1.0,250.0,1.0,32500.0,560.0,Charlotte City (Central),1.0,4
Rented,2,0.0,Nonfamily household: Male householder: Not living alone,1.0,140.0,2.0,74200.0,1800.0,Charlotte City (Southwest),1.0,3
Rented,5,3.0,Married couple household,1.0,160.0,2.0,61000.0,860.0,Charlotte City (South),0.0,4
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,110.0,1.0,30000.0,860.0,Charlotte City (Northeast),1.0,5
Rented,2,0.0,Married couple household,1.0,150.0,2.0,110600.0,1200.0,Mecklenburg County (South)--Matthews Town (South),0.0,5
Rented,1,0.0,Nonfamily household: Male householder: Living alone,2.0,150.0,1.0,20000.0,890.0,Charlotte City (Central),1.0,4
Rented,2,0.0,Nonfamily household: Male householder: Not living alone,1.0,90.0,2.0,105000.0,1000.0,Charlotte City (Northwest),0.0,3
Rented,1,0.0,Nonfamily household: Male householder: Living alone,1.0,100.0,1.0,40000.0,760.0,Charlotte City (Central),0.0,3
Rented,2,0.0,Nonfamily household: Male householder: Not living alone,1.0,180.0,2.0,118000.0,1100.0,Mecklenburg County (South)--Matthews Town (South),0.0,2
Rented,4,2.0,Married couple household,1.0,130.0,1.0,101000.0,1300.0,Charlotte City (South),0.0,4
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,80.0,1.0,3500.0,700.0,Charlotte City (Southwest),1.0,3
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,190.0,1.0,50500.0,930.0,Charlotte City (Southwest),0.0,2
Rented,4,2.0,"Other family household: Female householder, no spouse present",1.0,90.0,2.0,58500.0,780.0,Charlotte City (South),0.0,5
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,40.0,1.0,57000.0,1100.0,Charlotte City (Central),0.0,1
Rented,2,0.0,"Other family household: Male householder, no spouse present",1.0,90.0,2.0,34000.0,650.0,Charlotte City (Northwest),0.0,4
Rented,2,0.0,Married couple household,1.0,70.0,1.0,260000.0,1200.0,"Mecklenburg County (North)--Huntersville, Cornelius & Davidson Towns",0.0,2
Rented,2,0.0,Nonfamily household: Female householder: Not living alone,1.0,70.0,1.0,19500.0,830.0,Charlotte City (Central),1.0,5
Rented,2,0.0,Nonfamily household: Female householder: Not living alone,1.0,60.0,2.0,71000.0,1900.0,Charlotte City (Southwest),1.0,3
Rented,3,0.0,Married couple household,1.0,250.0,3.0,423000.0,2800.0,Charlotte City (South),0.0,9
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,110.0,1.0,12300.0,970.0,Charlotte City (Northeast),1.0,6
Rented,2,1.0,"Other family household: Female householder, no spouse present",1.0,200.0,1.0,10000.0,850.0,Charlotte City (Central),1.0,6
Rented,2,0.0,Married couple household,2.0,90.0,2.0,50000.0,780.0,Charlotte City (Northwest),0.0,4
Rented,3,2.0,"Other family household: Female householder, no spouse present",1.0,120.0,1.0,19000.0,1100.0,Charlotte City (Northwest),1.0,8
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,200.0,0.0,14000.0,860.0,Charlotte City (Central),1.0,2
Rented,5,3.0,Married couple household,2.0,120.0,2.0,22800.0,750.0,Charlotte City (Northeast),1.0,4
Rented,2,0.0,Married couple household,1.0,150.0,4.0,132600.0,850.0,Charlotte City (Northwest),0.0,8
Rented,2,0.0,Married couple household,1.0,110.0,2.0,32700.0,1500.0,"Mecklenburg County (North)--Huntersville, Cornelius & Davidson Towns",1.0,7
Rented,2,1.0,"Other family household: Female householder, no spouse present",1.0,160.0,1.0,317400.0,750.0,Charlotte City (Northwest),0.0,4
Rented,2,0.0,"Other family household: Female householder, no spouse present",1.0,80.0,1.0,56000.0,1300.0,Charlotte City (Central),1.0,3
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,100.0,1.0,25500.0,1300.0,"Mecklenburg County (North)--Huntersville, Cornelius & Davidson Towns",1.0,4
Rented,4,1.0,"Other family household: Male householder, no spouse present",1.0,130.0,1.0,45400.0,1100.0,Mecklenburg County (East)--Mint Hill & Matthews (North) Towns,1.0,5
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,80.0,1.0,115000.0,1700.0,Charlotte City (Central),0.0,4
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,70.0,1.0,40000.0,580.0,Charlotte City (Northeast),0.0,4
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,140.0,0.0,36000.0,600.0,Mecklenburg County (South)--Matthews Town (South),0.0,6
Rented,3,0.0,Married couple household,1.0,120.0,4.0,78000.0,730.0,Charlotte City (Northwest),0.0,5
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,60.0,1.0,38000.0,750.0,Charlotte City (South),0.0,5
Rented,7,5.0,Married couple household,1.0,90.0,2.0,36000.0,800.0,Charlotte City (Southwest),1.0,8
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,40.0,1.0,70000.0,960.0,Mecklenburg County (South)--Matthews Town (South),0.0,3
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,250.0,1.0,28330.0,850.0,Charlotte City (Northwest),1.0,4
Rented,2,0.0,"Other family household: Male householder, no spouse present",1.0,300.0,3.0,23800.0,800.0,Mecklenburg County (East)--Mint Hill & Matthews (North) Towns,1.0,6
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,120.0,1.0,0.0,1500.0,Mecklenburg County (East)--Mint Hill & Matthews (North) Towns,1.0,5
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,100.0,0.0,11900.0,100.0,Charlotte City (Southwest),0.0,2
Rented,3,2.0,"Other family household: Female householder, no spouse present",1.0,240.0,2.0,2400.0,1900.0,Charlotte City (Northeast),1.0,8
Rented,4,2.0,Married couple household,1.0,130.0,2.0,132000.0,1300.0,"Mecklenburg County (North)--Huntersville, Cornelius & Davidson Towns",0.0,6
Rented,3,1.0,Married couple household,1.0,120.0,1.0,28000.0,1200.0,Charlotte City (Southwest),1.0,4
Rented,2,0.0,Married couple household,1.0,80.0,1.0,149500.0,1000.0,Charlotte City (Northeast),0.0,1
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,80.0,0.0,49700.0,1200.0,"Mecklenburg County (North)--Huntersville, Cornelius & Davidson Towns",1.0,7
Rented,2,0.0,Married couple household,1.0,50.0,2.0,120000.0,1400.0,Charlotte City (Central),0.0,1
Rented,1,0.0,Nonfamily household: Male householder: Living alone,1.0,110.0,1.0,24000.0,800.0,Charlotte City (Southwest),1.0,3
Rented,3,1.0,"Other family household: Female householder, no spouse present",1.0,50.0,1.0,53800.0,960.0,Mecklenburg County (South)--Matthews Town (South),0.0,4
Rented,5,3.0,"Other family household: Female householder, no spouse present",1.0,370.0,0.0,33600.0,1700.0,Mecklenburg County (South)--Matthews Town (South),1.0,5
Rented,2,0.0,Married couple household,1.0,60.0,1.0,184000.0,1200.0,"Mecklenburg County (North)--Huntersville, Cornelius & Davidson Towns",0.0,8
Rented,1,0.0,Nonfamily household: Male householder: Living alone,1.0,110.0,1.0,35000.0,850.0,Charlotte City (Northeast),1.0,3
Rented,2,0.0,Married couple household,1.0,60.0,1.0,73000.0,1400.0,Mecklenburg County (South)--Matthews Town (South),0.0,5
Rented,4,2.0,"Other family household: Male householder, no spouse present",2.0,70.0,1.0,16000.0,860.0,Charlotte City (Central),1.0,4
Rented,4,2.0,Married couple household,1.0,60.0,2.0,75000.0,1400.0,Charlotte City (Northeast),0.0,7
Rented,3,1.0,"Other family household: Female householder, no spouse present",2.0,160.0,2.0,17000.0,750.0,Charlotte City (Northwest),1.0,4
Rented,1,0.0,Nonfamily household: Male householder: Living alone,1.0,120.0,2.0,35000.0,730.0,Charlotte City (Northwest),1.0,5
Rented,2,0.0,Nonfamily household: Female householder: Not living alone,1.0,120.0,2.0,62000.0,1800.0,Charlotte City (Central),1.0,4
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,60.0,1.0,35030.0,990.0,Charlotte City (South),1.0,2
Rented,5,1.0,"Other family household: Female householder, no spouse present",1.0,90.0,2.0,138900.0,1000.0,Charlotte City (Northwest),0.0,5
Rented,2,0.0,Nonfamily household: Male householder: Not living alone,1.0,70.0,1.0,92000.0,1200.0,Charlotte City (Central),0.0,1
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,200.0,2.0,1200.0,850.0,Charlotte City (Central),1.0,10
Rented,2,0.0,Nonfamily household: Male householder: Not living alone,1.0,70.0,3.0,50000.0,1300.0,Charlotte City (Northwest),1.0,5
Rented,2,0.0,Married couple household,1.0,70.0,1.0,88400.0,1500.0,"Mecklenburg County (North)--Huntersville, Cornelius & Davidson Towns",0.0,3
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,110.0,1.0,35000.0,600.0,Charlotte City (Northwest),0.0,6
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,80.0,0.0,1400.0,930.0,Charlotte City (South),1.0,3
Rented,2,0.0,Nonfamily household: Male householder: Not living alone,1.0,150.0,1.0,43000.0,1000.0,"Mecklenburg County (North)--Huntersville, Cornelius & Davidson Towns",1.0,2
Rented,2,0.0,Nonfamily household: Male householder: Not living alone,1.0,60.0,2.0,26500.0,900.0,Mecklenburg County (South)--Matthews Town (South),1.0,5
Rented,4,3.0,"Other family household: Female householder, no spouse present",1.0,120.0,1.0,32000.0,810.0,Charlotte City (Northwest),1.0,5
Rented,3,1.0,Married couple household,1.0,230.0,2.0,80000.0,670.0,Mecklenburg County (South)--Matthews Town (South),0.0,7
Rented,2,0.0,Nonfamily household: Male householder: Not living alone,1.0,50.0,2.0,86550.0,1400.0,Charlotte City (Central),0.0,2
Rented,1,0.0,Nonfamily household: Male householder: Living alone,1.0,50.0,1.0,19400.0,1000.0,Charlotte City (Central),1.0,4
Rented,1,0.0,Nonfamily household: Male householder: Living alone,1.0,90.0,2.0,46500.0,1000.0,Mecklenburg County (South)--Matthews Town (South),0.0,4
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,80.0,1.0,25000.0,670.0,Charlotte City (Northeast),1.0,3
Rented,4,2.0,Married couple household,2.0,150.0,1.0,32000.0,790.0,Charlotte City (Northwest),1.0,5
Rented,1,0.0,Nonfamily household: Male householder: Living alone,1.0,80.0,1.0,70000.0,1300.0,Charlotte City (Central),0.0,6
Rented,2,0.0,Nonfamily household: Female householder: Not living alone,1.0,150.0,1.0,21300.0,740.0,Charlotte City (Central),1.0,5
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,30.0,1.0,36000.0,1100.0,Charlotte City (Central),1.0,3
Rented,3,1.0,Married couple household,1.0,50.0,3.0,423000.0,2000.0,Charlotte City (South),0.0,4
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,90.0,1.0,50100.0,630.0,Mecklenburg County (South)--Matthews Town (South),0.0,4
Rented,2,0.0,Married couple household,1.0,120.0,2.0,76000.0,800.0,Charlotte City (Central),0.0,6
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,40.0,1.0,80000.0,1200.0,Charlotte City (Central),0.0,1
Rented,2,0.0,Nonfamily household: Female householder: Not living alone,1.0,60.0,2.0,119000.0,1400.0,Charlotte City (Central),0.0,3
Rented,2,0.0,Nonfamily household: Male householder: Not living alone,1.0,110.0,1.0,28000.0,1200.0,Mecklenburg County (East)--Mint Hill & Matthews (North) Towns,1.0,6
Rented,2,0.0,Nonfamily household: Male householder: Not living alone,1.0,100.0,2.0,60000.0,1200.0,Mecklenburg County (South)--Matthews Town (South),0.0,5
Rented,5,0.0,"Other family household: Female householder, no spouse present",1.0,350.0,1.0,25520.0,900.0,Charlotte City (Northwest),1.0,5
Rented,1,0.0,Nonfamily household: Male householder: Living alone,1.0,80.0,1.0,95000.0,1200.0,Charlotte City (Southwest),0.0,4
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,120.0,1.0,80000.0,1600.0,Charlotte City (Central),0.0,2
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,70.0,1.0,44000.0,800.0,Charlotte City (Central),0.0,5
Rented,7,5.0,Married couple household,1.0,200.0,1.0,40000.0,1400.0,Charlotte City (South),1.0,5
Rented,3,1.0,Married couple household,1.0,160.0,2.0,90000.0,1400.0,Charlotte City (South),0.0,7
Rented,3,1.0,Married couple household,1.0,100.0,2.0,96000.0,1100.0,Charlotte City (South),0.0,3
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,100.0,1.0,69000.0,1300.0,"Mecklenburg County (North)--Huntersville, Cornelius & Davidson Towns",0.0,5
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,50.0,0.0,39000.0,980.0,Charlotte City (Southwest),1.0,5
Rented,4,1.0,Married couple household,2.0,60.0,1.0,31700.0,1100.0,"Mecklenburg County (North)--Huntersville, Cornelius & Davidson Towns",1.0,3
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,80.0,1.0,44000.0,950.0,Charlotte City (Northwest),0.0,6
Rented,3,0.0,"Other family household: Female householder, no spouse present",1.0,180.0,1.0,32100.0,850.0,Charlotte City (Northeast),1.0,6
Rented,3,2.0,"Other family household: Female householder, no spouse present",1.0,70.0,1.0,7000.0,1300.0,Charlotte City (Northwest),1.0,6
Rented,2,0.0,Married couple household,2.0,250.0,1.0,13200.0,800.0,Mecklenburg County (East)--Mint Hill & Matthews (North) Towns,1.0,5
Rented,5,4.0,"Other family household: Female householder, no spouse present",1.0,130.0,0.0,9000.0,50.0,Charlotte City (Southwest),1.0,6
Rented,2,0.0,Nonfamily household: Female householder: Not living alone,1.0,150.0,2.0,56000.0,1200.0,"Mecklenburg County (North)--Huntersville, Cornelius & Davidson Towns",1.0,4
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,70.0,1.0,47000.0,2000.0,Charlotte City (Southwest),1.0,3
Rented,4,2.0,Married couple household,1.0,130.0,2.0,31600.0,950.0,Mecklenburg County (South)--Matthews Town (South),1.0,5
Rented,3,0.0,"Other family household: Male householder, no spouse present",1.0,270.0,2.0,57200.0,1000.0,Charlotte City (Northwest),1.0,6
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,560.0,0.0,10000.0,900.0,Charlotte City (Northwest),1.0,6
Rented,1,0.0,Nonfamily household: Male householder: Living alone,1.0,60.0,1.0,82000.0,980.0,Charlotte City (South),0.0,1
Rented,1,0.0,Nonfamily household: Male householder: Living alone,1.0,40.0,3.0,69000.0,1000.0,Mecklenburg County (South)--Matthews Town (South),0.0,5
Rented,2,0.0,Married couple household,1.0,70.0,2.0,132500.0,1800.0,Charlotte City (Central),0.0,4
Rented,2,0.0,Nonfamily household: Female householder: Not living alone,1.0,70.0,2.0,58000.0,1700.0,Charlotte City (Southwest),1.0,3
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,30.0,0.0,9800.0,140.0,Charlotte City (Northwest),0.0,1
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,100.0,1.0,90000.0,1700.0,Charlotte City (Central),0.0,4
Rented,2,0.0,"Other family household: Female householder, no spouse present",1.0,110.0,1.0,52000.0,860.0,Charlotte City (Northwest),0.0,6
Rented,1,0.0,Nonfamily household: Male householder: Living alone,1.0,80.0,1.0,70000.0,1200.0,Charlotte City (Central),0.0,6
Rented,2,0.0,Married couple household,1.0,50.0,1.0,84000.0,1000.0,Charlotte City (Southwest),0.0,3
Rented,3,1.0,Married couple household,1.0,120.0,2.0,100000.0,850.0,Charlotte City (Central),0.0,4
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,200.0,1.0,25000.0,580.0,Charlotte City (Northwest),1.0,3
Rented,1,0.0,Nonfamily household: Male householder: Living alone,1.0,50.0,1.0,66000.0,1200.0,Charlotte City (Central),0.0,3
Rented,4,2.0,Married couple household,1.0,200.0,3.0,128000.0,1400.0,"Mecklenburg County (North)--Huntersville, Cornelius & Davidson Towns",0.0,5
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,30.0,1.0,38000.0,780.0,Charlotte City (Central),0.0,3
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,60.0,1.0,37550.0,1400.0,Mecklenburg County (South)--Matthews Town (South),1.0,6
Rented,2,0.0,Married couple household,1.0,180.0,2.0,84000.0,1100.0,Charlotte City (Southwest),0.0,4
Rented,1,0.0,Nonfamily household: Female householder: Living alone,1.0,90.0,1.0,24200.0,1400.0,"Mecklenburg County (North)--Huntersville, Cornelius & Davidson Towns",1.0,5
